0.86 -0.16 -0.02 -1.00 -0.02 -0.29 0.32 -0.83 0.52 1.53 -1.25 1.25 -5.89
-0.11 0.40 0.69 -0.40 0.22 0.01 0.10 -0.77 0.02 0.50 4.51 4.51 51.15
1.45 0.96 2.15 -0.77 0.87 0.18 2.19 -0.81 -0.84 -0.60 2.32 2.32 6.41
-2.12 -0.53 -0.76 0.15 0.34 1.88 0.95 -0.58 -0.90 0.49 0.99 0.99 -7.72
-1.32 1.83 1.18 -0.47 -1.71 1.35 -0.11 1.24 -1.59 -0.60 -3.44 3.44 27.18
0.01 0.05 -0.45 0.62 -1.07 -0.14 0.12 0.51 0.71 -1.12 -3.44 3.44 25.93
-1.53 1.28 0.33 -0.75 1.55 0.12 1.18 0.07 2.06 1.76 -4.42 4.42 47.51
-0.25 0.97 0.65 1.37 -0.96 0.69 1.06 -1.76 -1.18 -2.04 3.66 3.66 30.82
-0.27 0.72 1.50 0.07 1.63 -1.38 -1.70 -0.06 0.38 -0.03 1.01 1.01 -7.81
-2.07 -0.09 -1.30 0.67 0.37 -0.94 -0.51 -1.06 -0.06 0.96 2.08 2.08 3.70
-0.99 0.50 -0.53 -0.79 -0.11 -1.04 -0.55 -1.20 1.96 0.04 -4.79 4.79 59.99
-0.70 0.21 -0.11 -0.22 0.61 0.76 -0.53 -0.58 -0.28 -2.30 4.70 4.70 55.51
-1.52 1.37 1.64 -0.25 0.58 0.31 3.08 1.12 -0.13 -0.96 3.32 3.32 24.02
-1.61 0.20 -0.76 -1.42 -0.65 -1.08 1.69 0.88 -0.01 1.48 -2.88 2.88 15.20
0.08 -0.86 1.52 0.54 -1.04 -0.19 -0.88 -1.38 0.93 1.91 -3.18 3.18 21.11
-1.40 0.56 -0.65 -0.49 -0.59 -0.86 0.05 -0.83 0.27 -0.05 -3.17 3.17 21.78
-0.24 -0.91 -0.58 0.76 0.50 -0.98 0.10 0.75 -1.67 0.54 -1.96 1.96 1.28
-0.66 0.57 -0.76 -1.80 -1.63 0.05 0.26 -0.90 0.64 -1.66 0.25 0.25 -10.49
-0.07 -1.21 -0.65 0.05 -0.86 -0.38 1.01 -0.58 0.84 -1.13 -0.68 0.68 -9.41
0.53 1.44 -2.47 -0.80 0.58 -0.20 0.37 -0.60 0.09 -0.16 -2.09 2.09 2.34
1.17 0.25 0.34 -0.41 -0.49 -0.43 0.39 -0.42 0.29 2.08 1.12 1.12 -6.32
0.87 -0.33 1.20 -0.41 -2.04 -1.01 -1.87 -0.35 0.02 1.68 -3.61 3.61 29.30
0.33 -0.22 0.83 -2.21 0.24 0.77 -1.48 1.14 0.34 -0.42 -2.08 2.08 3.21
0.63 2.27 0.18 0.25 -0.46 -0.85 0.83 -0.86 0.07 -0.48 -1.34 1.34 -3.90
0.48 0.33 1.04 -0.51 -0.27 -0.98 -0.44 0.38 0.76 -0.92 -0.44 0.44 -9.41
0.87 1.36 0.41 1.88 -0.77 -1.24 -1.78 1.50 0.65 -0.06 2.85 2.85 15.71
0.28 -1.13 2.45 0.13 0.11 0.73 0.48 0.22 -0.79 0.47 -3.00 3.00 16.82
1.88 1.35 1.59 -0.51 -0.99 -0.13 0.06 1.09 -1.69 1.53 0.14 0.14 -7.49
-0.16 -0.43 -1.01 -1.65 0.82 0.07 -1.29 -1.30 -0.34 1.67 0.92 0.92 -6.87
-0.26 -1.50 -0.25 -0.27 -2.70 -0.05 -0.23 0.70 1.85 1.13 -4.54 4.54 50.94
-0.27 -1.11 2.57 0.06 0.01 -0.02 0.20 -0.14 -0.57 -0.55 1.08 1.08 -7.49
-0.03 -0.54 -0.71 0.11 -0.25 1.50 -2.65 1.09 1.25 -2.07 -3.29 3.29 23.00
-0.34 -0.37 -1.41 -0.78 -1.11 1.75 0.94 1.27 0.72 -1.13 -4.35 4.35 46.55
-0.52 0.49 -1.22 0.71 -0.24 -0.37 0.71 0.44 -0.36 1.16 4.49 4.49 51.09
-1.08 0.62 0.59 -0.31 0.33 -1.25 0.92 -0.18 -0.52 1.05 4.66 4.66 55.47
-0.70 -1.41 -1.56 0.61 -1.28 1.75 -2.08 1.70 0.21 -0.10 3.08 3.08 18.47
